title,image_url,amazon url,release date,developer,publisher,platforms,genres,rating,description
League of Legends ,https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-285x380.jpg,https://www.amazon.com/League-Legends-25-Gift-Card/dp/B0153XBEBM/ref=sr_1_1?ie=UTF8&qid=1516866691&sr=8-1&keywords=League+of+Legends,Oct 27@ 2009,Riot Games,Riot Games,PC,Role-Playing Strategy Action-RPG Real-Time MOBA MOBA,T,Join forces with your closest allies as you unite to defeat your foes in deadly multiplayer battle arenas. League of Legends combines elements from both strategy and role playing games to bring you a unique and dynamic player experience. As a Summoner@ you will have your own distinct@ customizable avatar that grows in power as you move through the game. In each battle you will select and call forth one of dozens of Champions to control and engage in head-to-head combat against teams of highly trained warriors. Choose your allies wisely@ for the stakes are high. In the League@ every battle means more than life or death as the balance of power shifts with each victory or defeat. [Riot Games]
Overwatch ,https://static-cdn.jtvnw.net/ttv-boxart/Overwatch-285x380.jpg,https://www.amazon.com/Overwatch-Game-Year-PlayStation-4/dp/B0733HQQQP/,May 23@ 2016,Blizzard Entertainment,Blizzard Entertainment,PC PlayStation 4 Xbox One,General-Action-Shooter First-Person Tactical,T,Overwatch is a highly stylized team-based shooter set on earth in the near future. Every match is an intense multiplayer showdown pitting a diverse cast of soldiers@ mercenaries@ scientists@ adventurers@ and oddities against each other in an epic@ globe-spanning conflict.
Fortnite ,https://static-cdn.jtvnw.net/ttv-boxart/Fortnite-285x380.jpg,https://www.amazon.com/Fortnite-PlayStation-4/dp/B071WNVX56/ref=sr_1_1?ie=UTF8&qid=1516866719&sr=8-1&keywords=Fortnite,Jul 21@ 2017,Epic Games,Epic Games,Xbox 360 PC PlayStation 3 PlayStation 4 Xbox One,"Action,eShooter,eThird-Person,Tactical",T,"The Storm came without warning and wiped out 98 percent of the world's population in a flash. Poof. Adios. Sayonara. Then came the monsters, wave after wave, night after night. Destroying everything in their path. But it's not all doom and gloom. In an abandoned missile silo, we've found one of our first weapons against the Storm you. We're looking for a few good commanders like you to help make a difference, push back the storm and protect those among us who are unable to protect themselves. Explore the world. Rescue survivors. Make hundreds of guns, swords, and things that go boom. Make impregnable forts. Tastefully decorate with sniper perches, poison gas traps, and jump pads. Take back the world. You know, the usual. And be sure to invite your friends. Welcome to Fortnite."
Hearthstone ,https://static-cdn.jtvnw.net/ttv-boxart/Hearthstone-285x380.jpg,https://www.amazon.com/Battle-net-Store-Gift-Card-Balance/dp/B012JMS4W2/ref=sr_1_1?ie=UTF8&qid=1516866750&sr=8-1&keywords=Hearthstone,Apr 16@ 2014,Blizzard Entertainment,Blizzard Entertainment,iOS PC,Strategy-Miscellaneous Turn-Based Card Battle,T,Hearthstone is a free-to-play digital strategy card game where you can choose one of nine epic Warcraft heroes to play as.
Counter-Strike: Global Offensive ,https://static-cdn.jtvnw.net/ttv-boxart/Counter-Strike:%20Global%20Offensive-285x380.jpg,https://www.amazon.com/Counter-strike-Global-Offensive-Pc-Game-MAC/dp/B009FZZUPQ/ref=sr_1_1?ie=UTF8&qid=1516866768&sr=8-1&keywords=Counter-Strike%3A+Global+Offensive,Aug 21@ 2012,Valve Software,Valve Software,PC PlayStation 3 Xbox 360,Action-Shooter Shooter First-Person Modern Tactical Modern,M,Counter-Strike: Global Offensive features new maps@ characters@ and weapons and delivers updated versions of the classic CS content.
Dead by Daylight ,https://static-cdn.jtvnw.net/ttv-boxart/Dead%20by%20Daylight-285x380.jpg,https://www.amazon.com/Dead-Daylight-PlayStation-4/dp/B06WVKKHJM/ref=sr_1_1?ie=UTF8&qid=1516866783&sr=8-1&keywords=Dead+by+Daylight,Jun 20@ 2017,505 Games,505 Games,PlayStation 4 PC Xbox One,Action-Adventure Survival,M,Dead by Daylight is a multiplayer (4vs1) horror game where one player takes on the role of the savage Killer@ and the other four players play as Survivors@ trying to escape the Killer and avoid being caught@ tortured and killed. Survivors play in third-person and have the advantage of better situational awareness. The Killer plays in first-person and is more focused on their prey. The Survivors' goal in each encounter is to escape the Killing Ground without getting caught by the Killer - something that sounds easier than it is@ especially when the environment changes every time you play.
Monster Hunter World ,https://static-cdn.jtvnw.net/ttv-boxart/Monster%20Hunter%20World-285x380.jpg,https://www.amazon.com/Monster-Hunter-World-PlayStation-4-Standard/dp/B071G5HZ7F/ref=sr_1_1?s=videogames&ie=UTF8&qid=1516866800&sr=1-1&keywords=Monster+Hunter+World,Jan 26@ 2018,Capcom,Capcom,PlayStation 4 Xbox One,Role-Playing Action-RPG,T,In Monster Hunter: World you assume the role of a hunter venturing to a new continent where you track down and slay ferocious beasts in heart-pounding battles. This new land and its diverse inhabitants play a critical role in each quest as you strategically use the surrounding environment including terrain@ vegetation and wildlife to your advantage in battle or become hindered by the hazards they present. As a hunter@ you must use your cunning and expertise to track and maneuver your targets throughout the intense@ evolving battles. [Capcom]
World of Warcraft ,https://static-cdn.jtvnw.net/ttv-boxart/World%20of%20Warcraft-285x380.jpg,https://www.amazon.com/World-Warcraft-Game-Time-Digital/dp/B012JIOKM4/ref=sr_1_2?ie=UTF8&qid=1516866814&sr=8-2&keywords=World+of+Warcraft,Aug 30@ 2016,Blizzard Entertainment,Blizzard Entertainment,PC,Role-Playing Massively-Multiplayer,T,"The Tomb of Sargeras has been reopened, and the demons of the Burning Legion pour into our world. Their full, terrifying might is fixed on summoning the Dark Titan to Azeroth@and they've already located the key to his return. With the Alliance and Horde devastated, only you can take up Warcraft's most legendary artifacts, scour the ancient Broken Isles for relics of the Titans, and challenge the Legion before Azeroth's last hope dies. Steel yourself, champion. Extinction is imminent."
Grand Theft Auto V ,https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-285x380.jpg,https://www.amazon.com/Grand-Theft-Auto-V-PlayStation-4/dp/B00KVSQ848/ref=sr_1_1?ie=UTF8&qid=1516866841&sr=8-1&keywords=Grand+Theft+Auto+V,Apr 14@ 2015,Rockstar North,Rockstar Games,PC PlayStation 3 PlayStation 4 Xbox 360 Xbox One,Modern Action-Adventure Open-World,M,Los Santos: a sprawling sun-soaked metropolis full of self-help gurus@ starlets and fading celebrities@ once the envy of the Western world@ now struggling to stay alive in a time of economic uncertainty and cheap reality TV. Amidst the turmoil@ three very unique criminals plot their own chances of survival and success: Franklin@ a street hustler looking for tangible opportunities and serious money; Michael@ a professional ex-con whose retirement is less rosy than he figured it would be; and Trevor@ a violent dude driven by the opportunity for a cheap high and his next big score. With options at a premium@ the crew risks it all in a myriad of daring and dangerous heists that could set them up for life.
Tom Clancy's Rainbow Six: Siege ,https://static-cdn.jtvnw.net/ttv-boxart/Tom%20Clancy%27s%20Rainbow%20Six:%20Siege-285x380.jpg,https://www.amazon.com/Tom-Clancys-Rainbow-Six-Siege-PlayStation/dp/B00KVHSOX2/ref=sr_1_1?ie=UTF8&qid=1516866855&sr=8-1&keywords=Tom+Clancy%27s+Rainbow+Six%3A+Siege,Dec 1@ 2015,Ubisoft Montreal,Ubisoft,PlayStation 4 PC Xbox One,Modern Action-Shooter First-Person Tactical,M,Tom Clancy's Rainbow Six Siege is inspired by real world counter-terrorist organizations@ and inserts players in the middle of lethal close-quarters engagements. For the first time in a Tom Clancy's Rainbow Six game@ players can choose from a variety of unique Counter Terrorist Operators and engage in tangible sieges@ a new style of assault in which enemies have the means to transform their environments into modern strongholds while Rainbow Six teams lead the assault to breach the enemy's position.
